sample_name,Target,0,1,2,3,4,5,6,7,8,9,cas9_score,nick_to_pegRNA,dPAM,PE3b,RTT_GC,RTT_length,PBS_GC,PBS_length,N_subsitution,N_deletion,N_insertions,Target_pos,Target_end_flank
FIG2B_EMX1_13,17.1590462,0.576701,0.661907,0.758186,0.789614,0.630564,0.691106,0.806808,0.697791,0.558467,0.426926,69.541,,0,0,0.615384615,13,0.538461538,13,1,0,0,1,12
FIG2B_EMX1_14,15.84567047,0.618262,0.708851,0.745233,0.788294,0.820733,0.644994,0.697842,0.810648,0.710439,0.594108,69.541,,0,0,0.642857143,14,0.538461538,13,1,0,0,1,13
FIG2B_EMX1_15,13.15406933,0.626889,0.707854,0.783361,0.821339,0.865385,0.899879,0.641955,0.666619,0.775537,0.72524,69.541,,0,0,0.6,15,0.538461538,13,1,0,0,1,14
FIG2B_EMX1_16,20.03663943,0.674916,0.804956,0.857845,0.893729,0.928892,0.967799,0.98864,0.64988,0.654969,0.795866,69.541,,0,0,0.625,16,0.538461538,13,1,0,0,1,15
FIG2B_EMX1_17,14.75879493,0.857782,0.607185,0.785398,0.842083,0.877676,0.912551,0.951661,0.983358,0.626988,0.67434,69.541,,0,0,0.588235294,17,0.538461538,13,1,0,0,1,16
FIG2B_EMX1_18,17.74793207,0.0311341,0.140161,0.536675,0.787128,0.847864,0.883659,0.9186,0.957619,0.984075,0.593528,69.541,,0,0,0.555555556,18,0.538461538,13,1,0,0,1,17
FIG2B_EMX1_19,18.56092583,0.0870514,0.427034,0.381233,0.509865,0.710284,0.796476,0.853497,0.889714,0.928124,0.959934,69.541,,0,0,0.578947368,19,0.538461538,13,1,0,0,1,18
FIG2B_EMX1_20,11.59298747,0.830198,0.210145,0.189389,0.129543,0.366926,0.63658,0.769586,0.858135,0.898009,0.937172,69.541,,0,0,0.55,20,0.538461538,13,1,0,0,1,19
FIG2B_FANCF_10,5.286907033,0.95752,0.375209,0.392709,0.382046,0.0850923,0.115863,0.122166,0.43186,0.46046,0.0667757,60.384,,1,0,0.5,10,0.615384615,13,1,0,0,5,5
FIG2B_FANCF_11,10.186563,0.282142,0.420757,0.44178,0.459411,0.372881,0.18875,0.197398,0.206752,0.607595,0.648654,60.384,,1,0,0.545454545,11,0.615384615,13,1,0,0,5,6
FIG2B_FANCF_12,13.950477,0,0.496136,0.569652,0.363848,0.378371,0.307105,0.31126,0.325186,0.340127,0.500573,60.384,,1,0,0.5,12,0.615384615,13,1,0,0,5,7
FIG2B_FANCF_13,13.57853907,0,0.0759928,0.40273,0.426441,0.371283,0.386171,0.313437,0.282357,0.294971,0.308489,60.384,,1,0,0.461538462,13,0.615384615,13,1,0,0,5,8
FIG2B_FANCF_14,16.23280047,0,0.0140008,0.324029,0.116376,0.48638,0.510534,0.530921,0.430919,0.180776,0.188342,60.384,,1,0,0.428571429,14,0.615384615,13,1,0,0,5,9
FIG2B_FANCF_15,18.5252094,0,0.0146372,0,0.399843,0.0515397,0.485118,0.512825,0.533384,0.432919,0.154692,60.384,,1,0,0.4,15,0.615384615,13,1,0,0,5,10
FIG2B_FANCF_16,17.89912967,0.0126978,0.299874,0,0,0.415853,0.0442422,0.478948,0.505115,0.525408,0.426448,60.384,,1,0,0.4375,16,0.615384615,13,1,0,0,5,11
FIG2B_FANCF_17,22.61548387,0.430755,0.446175,0.452793,0,0,0.489373,0.562752,0.616559,0.35951,0.374253,60.384,,1,0,0.470588235,17,0.615384615,13,1,0,0,5,12
FIG2B_FANCF_18,20.94456207,0.91815,0.457083,0.473887,0.483932,0,0.0458944,0.548152,0.632816,0.696526,0.184728,60.384,,1,0,0.5,18,0.615384615,13,1,0,0,5,13
FIG2B_FANCF_19,21.66297457,0.645531,0.562231,0.632401,0.654149,0.653011,0,0,0.69413,0.804706,0.888191,60.384,,1,0,0.473684211,19,0.615384615,13,1,0,0,5,14
